ter;plot;label;ms;com;ind;sp;height;diameter;state;flower;;;;;
3;10;1139;0;M;1;pistachia;30,6;4,63;2;;;;;;
3;10;1140;1;M;1;dorycnium;40,2;3,01;;;;;;;
3;10;1143;0;P;1;pistachia;18,8;3,2;;;;;;;
3;10;1144;1;P;1;pistachia;19,7;3,26;;;;;;;
3;10;1145;1;D;1;dorycnium;31;2,23;;;;;;;
3;10;1146;0;D;1;dorycnium;26,4;1,74;;;;;;;
3;10;1148;1;M;1;anthyllis;22,5;2,1;;;;;;;
3;10;1149;0;M;1;pistachia;23,7;3,42;;;;;;;
3;10;1051;0;A;1;anthyllis;18,2;2,48;;1;;;;;
3;10;1052;1;A;1;anthyllis;17,1;2,1;;;;;;;
3;10;1059;1;D;1;dorycnium;38,8;2,9;;;;;;;
3;10;1060;0;D;1;dorycnium;29,5;2,75;;;;;;;
3;10;1064;1;M;1;pistachia;22,4;3,22;1;;;;;;
3;10;1067;0;D;1;dorycnium;28;2,03;;;;;;;
3;10;1068;1;D;1;dorycnium;23;1,64;;;;;;;
3;10;1071;1;P;1;pistachia;25;4,05;;;;;;;
3;10;1072;0;P;1;pistachia;30,6;3,89;;;;;;;
3;11;1022;0;M;1;dorycnium;26,5;2,3;;;;;;;
3;11;1023;1;M;1;anthyllis;21;2,91;;1;;;;;
3;11;1026;0;P;1;pistachia;34,6;3,32;;;;;;;
3;11;1027;1;P;1;pistachia;29,4;3,8;;;;;;;
3;11;1029;1;D;1;dorycnium;34,2;3,45;;;;;;;
3;11;1030;0;D;1;dorycnium;27,7;2,04;;;;;;;
3;11;1031;0;P;1;pistachia;11,6;2,57;;;;;;;
3;11;1032;1;P;1;pistachia;22,4;3,72;;;;;;;
3;11;1033;0;D;1;dorycnium;21,6;2,69;;;;;;;
3;11;1034;1;D;1;dorycnium;29;1,84;;;;;;;
3;11;1035;0;D;1;dorycnium;36;2,74;;;;;;;
3;11;1037;0;P;1;pistachia;38;4,41;1;;;;;;
3;11;1038;1;D;1;dorycnium;35;1,99;;;;;;;
3;11;1039;1;P;1;pistachia;38,3;4,53;1;;;;;;
3;11;1040;0;M;1;dorycnium;29,4;1,13;;;;;;;
3;11;1041;0;P;1;pistachia;31,8;4,23;;;;;;;
3;11;1042;1;P;1;pistachia;19,5;3,78;;;;;;;
