terrace;plot;label;microsite;com;watering;probes;notes
4;14;346;0;D;;;
4;14;347;0;A;;;
4;14;348;1;D;;;
4;14;349;1;A;;;
4;14;350;1;P;;;
4;14;351;0;P;;;
4;14;352;1;P;;;
4;14;353;0;P;;;
4;14;354;1;M;;;
4;14;355;0;M;;;
4;14;356;0;P;;;
4;14;357;1;P;;;
4;14;358;1;A;;;
4;14;359;0;A;;;
4;15;1451;1;;;;
4;15;1452;0;D;;;
4;15;1453;1;D;;;
4;15;1454;0;;;;
4;15;1455;0;D;;;
4;15;1456;1;;;;
4;15;1457;0;D;;;
4;15;1458;1;D;;;
4;15;1459;0;D;;;
4;15;1460;0;M;;;
4;15;1461;1;;;;
4;15;1462;1;M;;;
4;15;1463;1;P;;;
4;15;1464;0;P;;;
4;15;1465;1;D;;;
4;15;1466;0;P;;;
4;15;1467;1;P;;;
4;15;1468;0;M;;;
4;15;1469;0;M;;;
4;15;1470;1;M;;;
4;15;1471;0;P;;;
4;15;1472;1;P;;;
4;15;1473;1;P;;;
4;15;1474;0;P;;;
4;15;1475;1;M;;;
4;15;1476;1;M;;;
4;15;1477;1;A;;;
4;15;1478;0;A;;;
4;15;1479;1;A;;;
4;15;1480;0;A;;;
4;15;1481;1;P;;;
4;15;1482;0;P;;;
4;15;1483;0;D;;;
4;15;1484;1;D;;;
4;15;1485;0;D;;;
4;15;1486;1;D;;;
4;15;1487;1;;;;
4;15;1488;0;M;;;
4;15;1489;1;P;;;
4;15;1490;0;P;;;
4;15;1491;1;A;;;
4;15;1492;0;A;;;
4;15;1493;1;;;;
4;15;1494;0;;;;
4;15;1495;1;A;;;
4;15;1496;0;A;;;
4;15;1497;1;M;;;
4;15;1498;0;M;;;
4;15;1499;0;A;;;
4;15;1500;1;A;;;
4;15;1501;0;P;;;
4;15;1502;1;;;;
4;15;1503;1;P;;;
4;15;1504;0;P;;;
4;15;1505;1;D;;;
4;15;1506;0;D;;;
4;15;1507;0;M;;;
4;15;1508;1;M;;;
4;15;1509;0;M;;;
4;15;1510;1;M;;;
4;15;1511;0;;;;
4;15;1512;1;D;;;
4;15;1513;0;D;;;
4;15;1514;0;;;;
4;15;1515;0;A;;;
4;15;1516;1;A;;;
4;15;1517;0;;;;
4;15;1518;1;;;;
4;15;1519;0;;;;
4;15;1520;1;;;;
4;15;1521;0;;;;
4;15;1522;1;;;;
4;15;1523;1;A;;;
4;15;1524;0;A;;;
4;15;1525;1;;;;
4;15;1526;1;A;;;
4;15;1527;0;A;;;
4;15;1528;0;M;;;
4;15;1529;1;M;;;
4;15;1530;1;P;;;
4;15;1531;1;D;;;
4;15;1532;0;;;;
2;8;401;0;P;;;
2;8;402;1;P;;;
2;8;403;0;D;;;
2;8;404;1;;;;
2;8;405;1;D;;;
2;8;406;0;;;;
2;8;407;1;?;;;
2;8;408;1;D;;;
2;8;409;1;D;;;
2;8;410;0;D;;;
2;8;411;0;;;;
2;8;412;0;D;;;
2;8;413;0;D;;;
2;8;414;1;D;;;
2;8;415;0;M;;;
2;8;416;1;M;;;
2;8;417;0;;;;
2;8;418;1;M;;;
2;8;419;0;;;;
2;8;420;1;A;;;
2;8;421;0;A;;;
2;8;422;1;;;;
2;8;423;0;;;;
2;8;424;0;A;;;
2;8;425;1;A;;;
2;8;426;1;;;;
2;8;427;0;A;;;
2;8;428;1;A;;;
2;8;429;0;M;;;
2;8;430;1;M;;;
2;8;431;0;A;;;
2;8;432;0;M;;;
2;8;433;1;M;;;
2;8;434;1;A;;;
2;8;435;0;;;;
2;8;436;1;;;;
2;8;437;0;;;;
2;8;438;1;;;;
2;8;439;1;;;;
2;8;440;0;;;;
2;8;441;1;;;;
2;8;442;0;;;;
2;8;443;0;M;;;
2;8;444;0;P;;;
2;8;445;1;P;;;
2;8;446;1;M;;;
2;8;447;1;;;;
2;8;448;0;;;;
2;8;449;0;D;;;
2;8;450;1;D;;;
2;8;451;0;A;;;
2;8;452;1;A;;;
2;8;453;0;D;;;
2;8;454;1;D;;;
2;8;455;0;;;;
2;8;456;1;;;;
2;8;457;0;P;;;
2;8;458;1;P;;;
2;8;459;1;P;;;
2;8;460;0;P;;;
2;8;461;1;A;;;
2;8;462;0;A;;;
2;8;463;0;P;;;
2;8;464;1;P;;;
2;8;465;0;M;;;
2;8;466;1;M;;;
2;8;467;1;M;;;
2;8;468;0;M;;;
2;8;469;0;P;;;
2;8;470;0;A;;;
2;8;471;1;A;;;
2;8;472;1;P;;;
2;8;473;0;D;;;
2;8;474;1;D;;;
2;8;475;1;;;;
2;8;476;0;;;;
2;8;477;1;M;;;
2;8;478;0;M;;;
2;8;479;0;A;;;
2;8;480;1;A;;;
3;12;801;0;M;;;
3;12;802;1;M;;;
3;12;803;0;A;;;
3;12;804;0;M;;;
3;12;805;1;A;;;
3;12;806;1;M;;;
3;12;807;0;;;;
3;12;808;1;M;;;
3;12;809;0;M;;;
3;12;810;1;D;;;
3;12;811;0;D;;;
3;12;812;1;;;;
3;12;813;0;;;;
3;12;814;0;P;;;
3;12;815;1;P;;;
3;12;816;0;D;;;
3;12;817;1;D;;;
3;12;818;0;M;;;
3;12;819;1;M;;;
3;12;820;1;A;;;
3;12;821;1;D;;;
3;12;822;0;A;;;
3;12;823;0;D;;;
3;12;824;1;P;;;
3;12;825;0;P;;;
3;12;826;1;;;;
3;12;827;0;;;;
3;12;828;1;;;;
