ter;plot;label;ms;com;watering;sp1;sp2;sp3;fresh_mass1;fresh_mass2;fresh_mass3;fresh_m_f1;fresh_m_f2;fresh_m_f3;dry_mass1;dry_mass2;dry_mass3;dry_m_f1;dry_m_f2;dry_m_f3
2;7;698;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;7;700;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;701;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;722;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;7;723;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;401;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;402;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;403;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;405;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;407;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;408;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;409;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;410;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;412;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;413;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;414;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;415;0;M;1;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;416;1;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;417;0;M;1;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;418;1;M;1;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;8;419;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;420;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;421;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;424;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;425;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;427;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;428;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;429;0;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;430;1;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;431;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;432;0;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
2;8;433;1;M;0;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
2;8;435;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;436;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;437;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;438;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;443;0;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
2;8;444;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;445;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;446;1;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;449;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;450;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;451;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;452;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;453;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;454;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;458;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;459;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;460;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;461;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;462;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;463;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;464;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;466;1;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;467;1;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
2;8;468;0;M;1;anthyllis;pistachia;dorycnium;;;;;;;;;;;;
2;8;470;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;471;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;472;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
2;8;473;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;474;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
2;8;477;1;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;478;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
2;8;479;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
2;8;480;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;881;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;882;1;A;0;anthyllis;anthyllis;anthyllis;0,13;;0,081;0,115;;0,076;0,044;;0,026;0,04;;0,025
3;9;887;0;M;1;pistachia;anthyllis;dorycnium;0,935;0,105;;0,776;0,1;;0,509;0,027;;0,425;0,026;
3;9;888;1;M;1;dorycnium;pistachia;anthyllis;0,041;0,895;0,208;;0,752;0,2;0,017;0,435;0,052;;0,367;0,05
3;9;889;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;890;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;891;0;M;0;dorycnium;pistachia;anthyllis;0,071;0,879;;;0,688;;0,021;0,494;;;0,392;
3;9;892;1;M;1;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
3;9;897;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;898;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;899;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;900;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;1329;1;M;1;anthyllis;dorycnium;pistachia;0,03;;0,956;0,026;;0,783;0,01;0,02;0,481;0,01;;0,393
3;9;901;0;M;0;dorycnium;anthyllis;pistachia;;;;;;;;;;;;
3;9;905;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;906;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;907;0;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;908;1;A;1;anthyllis;anthyllis;anthyllis;0,211;0,133;0,091;0,197;0,119;0,085;;0,039;0,021;;0,035;0,019
3;9;912;1;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
3;9;911;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
3;9;914;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;915;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;916;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;917;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;918;0;A;1;anthyllis;anthyllis;anthyllis;0,142;0,235;0,063;0,131;0,218;0,057;0,037;0,065;0,015;0,033;0,06;0,015
3;9;919;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;920;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;921;1;D;0;dorycnium;dorycnium;dorycnium;0,053;;0,041;;;;0,024;;0,021;;;
3;9;922;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;923;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;924;0;P;0;pistachia;pistachia;pistachia;0,798;0,721;0,68;0,645;0,609;0,691;0,433;0,377;;0,361;0,314;
3;9;925;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;926;0;D;0;dorycnium;dorycnium;dorycnium;;0,053;0,061;;;;;0,027;;;;
3;9;927;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;928;0;P;1;pistachia;pistachia;pistachia;0,555;0,427;0,502;0,468;0,331;0,419;0,303;0,229;0,262;0,257;0,178;0,222
3;9;929;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;930;1;P;0;pistachia;pistachia;pistachia;0,708;0,786;;0,567;0,654;;;0,394;;;0,328;
3;9;931;0;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;932;1;D;0;dorycnium;dorycnium;dorycnium;;;0,022;;;;;;;;;
3;9;933;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;934;0;D;1;dorycnium;dorycnium;dorycnium;0,032;;;;;;;;;;;
3;9;935;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;936;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;937;1;P;0;pistachia;pistachia;pistachia;;0,617;0,51;;0,485;0,414;;0,391;0,292;;0,325;0,243
3;9;938;0;M;0;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
3;9;939;1;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
3;9;941;0;A;1;anthyllis;anthyllis;anthyllis;0,099;0,075;0,211;0,093;0,066;0,189;0,037;0,024;0,065;0,035;0,022;0,059
3;9;942;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;943;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;9;944;1;P;0;pistachia;pistachia;pistachia;0,984;0,787;0,343;0,837;0,642;0,298;0,528;0,419;0,173;0,447;0,342;0,15
3;9;947;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;948;0;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;9;952;0;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;9;956;1;M;1;anthyllis;pistachia;dorycnium;0,125;0,796;0,078;0,114;0,691;;0,038;0,411;0,03;0,035;0,356;
3;9;957;0;M;0;dorycnium;pistachia;anthyllis;;0,365;;;0,267;;;0,243;;;0,182;
3;9;958;0;M;1;pistachia;dorycnium;anthyllis;0,632;;0,194;0,529;;0,179;0,335;;0,05;0,281;;0,048
3;9;959;1;M;1;dorycnium;anthyllis;pistachia;;0,062;0,924;;0,058;0,792;;0,016;0,477;;0,015;0,405
3;10;1103;0;A;0;anthyllis;anthyllis;anthyllis;0,238;0,139;;0,214;0,123;;0,081;0,054;;0,072;0,049;
3;10;1010;1;A;0;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;10;1114;1;A;1;anthyllis;anthyllis;anthyllis;0,12;0,169;;0,113;0,155;;0,031;0,049;;0,029;0,045;
3;10;1117;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;10;1118;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;10;1120;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;10;1121;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;10;1131;0;P;1;pistachia;pistachia;pistachia;0,575;1,189;1,078;0,475;0,993;0,904;0,285;0,612;0,578;0,235;0,511;0,483
3;10;1077;1;P;1;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;10;1134;0;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;10;1135;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;10;1137;0;M;1;pistachia;anthyllis;dorycnium;;;;;;;;;;;;
3;10;1138;1;M;0;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
3;10;1139;0;M;1;pistachia;anthyllis;dorycnium;1,222;0,22;0,054;1,023;0,199;;0,663;0,081;0,022;0,556;0,072;
3;10;1124;1;M;1;dorycnium;pistachia;anthyllis;;;;;;;;;;;;
3;10;1143;0;P;1;pistachia;pistachia;pistachia;0,601;0,736;;0,523;0,651;;0,306;0,376;;0,266;0,333;
3;10;1144;1;P;0;pistachia;pistachia;pistachia;;;;;;;;;;;;
3;10;1145;1;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;10;1146;0;D;0;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;10;1148;1;M;0;anthyllis;dorycnium;pistachia;;;;;;;;;;;;
3;10;1149;0;M;1;pistachia;dorycnium;anthyllis;;;;;;;;;;;;
3;10;1051;0;A;1;anthyllis;anthyllis;anthyllis;0,159;0,266;0,157;0,143;0,24;0,138;0,046;0,077;0,045;0,042;0,068;0,04
3;10;1052;1;A;1;anthyllis;anthyllis;anthyllis;;;;;;;;;;;;
3;10;1059;1;D;1;dorycnium;dorycnium;dorycnium;;;;;;;;;;;;
3;10;1060;0;D;0;dorycnium;dorycnium;dorycnium;0,038;0,048;0,042;;;;0,016;0,025;0,014;;;
