ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3;e1;e2;e3
2;8;445;1;P;1;pistachia;pistachia;pistachia;D;D;23;M;4,42;5;D;D;24;missing1;;
2;8;446;1;M;0;dorycnium;anthyllis;pistachia;41;39;18;3,55;4,13;2,47;42;38;17;;;
2;8;449;0;D;1;dorycnium;dorycnium;dorycnium;27;33;36;3,95;4,55;2,04;29;33,5;38;;;
2;8;450;1;D;0;dorycnium;dorycnium;dorycnium;43;27;11;2,33;2,83;2,36;48;26,5;10,5;;;
2;8;451;0;A;0;anthyllis;anthyllis;anthyllis;21;26;23;3,15;3,92;2,38;24;26;27,5;;;
2;8;452;1;A;1;anthyllis;anthyllis;anthyllis;41;26;21,5;3,92;3,14;3,56;42;27;20;;;
2;8;453;0;D;1;dorycnium;dorycnium;dorycnium;28;33;31;3,48;3,3;2,51;40,5;34;30,5;;;
2;8;454;1;D;0;dorycnium;dorycnium;dorycnium;23;28;25;1,87;2,35;2,99;23,5;29;27,5;;;
2;8;458;1;P;1;pistachia;pistachia;pistachia;19;18;10;3,14;3,86;3,65;21,5;21;11,5;;;
2;8;459;1;P;0;pistachia;pistachia;pistachia;26;20,5;15,5;3,24;3,22;3,96;28,5;21,5;18,5;;;
2;8;460;0;P;1;pistachia;pistachia;pistachia;19;22;17,5;2,84;3,32;2,77;21,5;25;18,5;;;
2;8;461;1;A;1;anthyllis;anthyllis;anthyllis;D;D;D;2,98;3,03;2,64;D;D;D;;;
2;8;462;0;A;1;anthyllis;anthyllis;anthyllis;19,5;26;25,5;2,25;2,8;3,78;21;34;35;;;
2;8;463;0;P;1;pistachia;pistachia;pistachia;25;21,5;25,5;4,55;3,96;3,98;26;23;26;;;
2;8;464;1;P;0;pistachia;pistachia;pistachia;22,5;22,5;22,5;3,9;2,85;4,32;17,5;20,5;27;;;
2;8;466;1;M;0;anthyllis;dorycnium;pistachia;20,5;42;15;2,23;3,21;2,57;22;40,5;18;;;
2;8;467;1;M;0;dorycnium;anthyllis;pistachia;47;25;19;4,32;4,03;2,97;49;25,5;21;;;
2;8;468;0;M;1;anthyllis;pistachia;dorycnium;24;14,5;36;3,93;2,57;4,39;28,5;17;39;;;
2;8;470;0;A;1;anthyllis;anthyllis;anthyllis;29;20;31;4,37;3,35;4,63;31;28,5;39,5;;;
2;8;471;1;A;1;anthyllis;anthyllis;anthyllis;29;20,5;25,5;4,52;3,08;4,42;27;20;26;;;
2;8;472;1;P;1;pistachia;pistachia;pistachia;23,5;20;18,5;3,98;2,62;2,6;23,5;22,5;20;;;
2;8;473;0;D;0;dorycnium;dorycnium;dorycnium;31;40;45,5;3,92;4,01;3,07;33;42;57;;;
2;8;474;1;D;0;dorycnium;dorycnium;dorycnium;34;34,5;35,5;3,08;3,04;3,34;37;34,5;42;;;
2;8;477;1;M;0;dorycnium;pistachia;anthyllis;28,5;24,5;22;2,4;3,5;2,36;28;26;21,5;;;
2;8;478;0;M;0;dorycnium;pistachia;anthyllis;28;22;19;2,41;2,63;2,48;30,5;23;19;;;
2;8;479;0;A;1;anthyllis;anthyllis;anthyllis;22;23,5;24,5;4,3;3,27;3,15;22,5;24;27;;;
2;8;480;1;A;0;anthyllis;anthyllis;anthyllis;33;37,5;38;3,7;3,14;4,1;43;43;43;;;
3;9;881;0;A;1;anthyllis;anthyllis;anthyllis;D;23;25;1,94;3,51;3,51;D;24;27;;;
3;9;882;1;A;0;anthyllis;anthyllis;anthyllis;23;12,5;37,5;2,73;1,94;2,54;25,5;13;40;;;
3;9;887;0;M;1;pistachia;anthyllis;dorycnium;24;20;D;3,65;2,68;1,97;26;25,5;D;;;
3;9;888;1;M;1;dorycnium;pistachia;anthyllis;42;30,5;48,5;2,87;3,95;3,77;43;30,5;49;;;
3;9;889;1;P;0;pistachia;pistachia;pistachia;23;D;D;2,83;2,55;2,55;27;D;D;;;
3;9;890;0;P;1;pistachia;pistachia;pistachia;D;D;26;4,57;3,19;2,67;D;D;27,5;;;
