ter	plot	label	ms	com	watering	sp1	sp2	sp3	h1	h2	h3	d1	d2	d3	fresh_mass1	fresh_mass2	fresh_mass3	fresh_m_f1	fresh_m_f2	fresh_m_f3
2	8	433	1	M	0	anthyllis	dorycnium	pistachia	20	28,2	18,7	2,42	2,38	2,51						
2	8	435	0	D	1	dorycnium	dorycnium	dorycnium	26,8	26,6	24,1	2,31	3,09	2,46						
2	8	436	1	D	0	dorycnium	dorycnium	dorycnium	26,8	28,6	31,5	2,77	2,31	3,26						
2	8	437	0	P	0	pistachia	pistachia	pistachia	25,1	25,4	21,5	3,14	3,58	2,55						
2	8	438	1	P	1	pistachia	pistachia	pistachia	25	26,6	25,3	3,2	3,88	3,27						
2	8	443	0	M	1	pistachia	anthyllis	dorycnium	19,3	24,5	30,6	2,66	2,6	3,13						
2	8	444	0	P	0	pistachia	pistachia	pistachia	28	13,7	14	3,98	2,56	1,78						
2	8	445	1	P	1	pistachia	pistachia	pistachia	21,4	25,7	23,7	3,24	4,64	4,88						
2	8	446	1	M	0	dorycnium	anthyllis	pistachia	29,3	28,9	17,8	1,97	2,24	2,06						
2	8	449	0	D	1	dorycnium	dorycnium	dorycnium	25,5	27	26,8	2,92	2,67	2,97						
2	8	450	1	D	0	dorycnium	dorycnium	dorycnium	30,9	20,9	25,7	2,62	2,53	1,95						
2	8	451	0	A	0	anthyllis	anthyllis	anthyllis	17,8	19,6	23	2,03	2,15	2,07						
2	8	452	1	A	1	anthyllis	anthyllis	anthyllis	28,4	24,3	17,9	2,6	2,26	2,31						
2	8	453	0	D	1	dorycnium	dorycnium	dorycnium	22,5	30,2	25,4	2,58	2,75	1,98						
2	8	454	1	D	0	dorycnium	dorycnium	dorycnium	17,6	25,6	24,3	1,86	1,97	2,8						
2	8	458	1	P	1	pistachia	pistachia	pistachia	9,5	18,9	18,2	2,82	2,89	3,65						
2	8	459	1	P	0	pistachia	pistachia	pistachia	19,5	18	26	2,79	3,77	2,94						
2	8	460	0	P	1	pistachia	pistachia	pistachia	19,9	17,6	23	2,2	2,36	2,77						
2	8	461	1	A	1	anthyllis	anthyllis	anthyllis	22,7	20,3	20,4	2,54	2,8	2,14						
2	8	462	0	A	1	anthyllis	anthyllis	anthyllis	16,6	30	16	1,78	3,13	2,52						
2	8	463	0	P	1	pistachia	pistachia	pistachia	22,5	26,4	22,3	3,06	3,09	3,3						
2	8	464	1	P	0	pistachia	pistachia	pistachia	23,4	25,5	23,5	3,46	2,5	3,86						
2	8	466	1	M	0	dorycnium	anthyllis	pistachia	31,5	14	14,9	3,08	1,54	1,98						
2	8	467	1	M	0	dorycnium	anthyllis	pistachia	27,6	28,8	19,4	4,2	2,57	3,45						
