ter;plot;label;ms;com;watering;sp1;sp2;sp3;h1;h2;h3;d1;d2;d3;hm1;hm2;hm3
2;8;450;1;D;0;dorycnium;dorycnium;dorycnium;32,5;27,4;19,7;2,78;2,74;2;36;23;31,9
2;8;451;0;A;0;anthyllis;anthyllis;anthyllis;19,6;18,1;19,9;2,46;2,25;2,29;24,2;19;41,5
2;8;452;1;A;1;anthyllis;anthyllis;anthyllis;31;27;21,2;3,57;3,04;2,94;31,2;31,4;21,5
2;8;453;0;D;1;dorycnium;dorycnium;dorycnium;20,6;30,3;25;2,84;3,1;2,58;30,6;30;26,4
2;8;454;1;D;0;dorycnium;dorycnium;dorycnium;24,3;23,9;24,8;2,03;2,19;2,94;25,5;25,6;24,9
2;8;458;1;P;1;pistachia;pistachia;pistachia;19,2;20,1;10,6;2,88;3,83;3,18;21,2;20,6;11,5
2;8;459;1;P;0;pistachia;pistachia;pistachia;25;19,2;14,4;3,17;2,72;3,81;27,7;21,6;20,2
2;8;460;0;P;1;pistachia;pistachia;pistachia;22;23,4;19,4;2,57;3,06;2,49;22,4;25,3;19,8
2;8;461;1;A;1;anthyllis;anthyllis;anthyllis;27,7;28,2;26;2,87;3,65;2,63;26,9;26,3;33,1
2;8;462;0;A;1;anthyllis;anthyllis;anthyllis;18;17,5;21,5;2,41;2,61;4,2;19,7;38,2;44,7
2;8;463;0;P;1;pistachia;pistachia;pistachia;22;21;24;3,86;3,72;3,72;25;23,2;26,3
2;8;464;1;P;0;pistachia;pistachia;pistachia;23;20,8;23,3;2,94;2,8;4,4;21;23,8;26
2;8;466;1;M;0;dorycnium;anthyllis;pistachia;31;13,4;14,5;3,17;1,88;2,36;33;21,5;17
2;8;467;1;M;0;dorycnium;anthyllis;pistachia;30,6;35;19,6;3,94;3,15;2,64;32,1;34,3;19,9
2;8;468;0;M;1;anthyllis;pistachia;dorycnium;27,2;15,3;26,8;3,49;2,46;3,53;28,2;15,5;27,4
2;8;470;0;A;1;anthyllis;anthyllis;anthyllis;37,2;22,2;11,6;4,22;4,26;2,26;41,5;45;24,2
