ter,plot,label,com,sp,ind,fresh_mass,dry_mass
2,5,603,A,anthyllis,3,0.069,0.026
2,5,607,D,dorycnium,3,0.075,0.028
2,5,611,D,dorycnium,3,0.049,0.02
2,5,612,D,dorycnium,3,0.068,0.025
3,9,882,A,anthyllis,3,0.081,0.026
3,9,888,M,anthyllis,3,0.208,0.052
3,9,1329,M,pistachia,3,0.956,0.481
3,9,908,A,anthyllis,3,0.091,0.021
3,9,918,A,anthyllis,3,0.063,0.015
3,9,921,D,dorycnium,3,0.041,0.021
3,9,924,P,pistachia,3,0.68,NA
3,9,926,D,dorycnium,3,0.061,NA
3,9,928,P,pistachia,3,0.502,0.262
3,9,932,D,dorycnium,3,0.022,NA
3,9,937,P,pistachia,3,0.51,0.292
3,9,941,A,anthyllis,3,0.211,0.065
3,9,944,P,pistachia,3,0.343,0.173
3,9,956,M,dorycnium,3,0.078,0.03
3,9,958,M,anthyllis,3,0.194,0.05
3,9,959,M,pistachia,3,0.924,0.477
3,10,1131,P,pistachia,3,1.078,0.578
3,10,1139,M,dorycnium,3,0.054,0.022
3,10,1051,A,anthyllis,3,0.157,0.045
3,10,1060,D,dorycnium,3,0.042,0.014
3,10,1072,P,pistachia,3,1.303,0.652
3,11,1027,P,pistachia,3,0.68,0.352
3,11,1029,D,dorycnium,3,0.095,0.035
3,11,1030,D,dorycnium,3,0.03,0.012
3,11,1037,P,pistachia,3,0.625,0.349
3,11,1038,D,dorycnium,3,0.04,0.011
3,11,1039,P,pistachia,3,1.044,0.549
3,11,1049,A,anthyllis,3,0.145,0.055
3,11,1050,A,anthyllis,3,0.116,0.042
3,11,1152,M,anthyllis,3,0.134,0.036
3,11,1154,M,pistachia,3,1.141,NA
3,11,1084,A,anthyllis,3,0.15,0.058
3,11,1088,D,dorycnium,3,0.052,0.018
3,11,1089,D,dorycnium,3,0.036,0.016
3,11,1095,A,anthyllis,3,0.108,0.038
3,11,1096,A,anthyllis,3,0.1,NA
3,11,1003,P,pistachia,3,0.293,0.15
3,11,1009,D,dorycnium,3,0.045,0.033
3,11,1014,M,pistachia,3,0.624,0.392
3,11,1015,M,pistachia,3,0.723,0.502
3,11,1019,D,dorycnium,3,0.045,0.014
3,12,805,A,anthyllis,3,0.114,0.033
3,12,814,P,pistachia,3,0.824,0.44
3,12,816,D,dorycnium,3,0.08,0.028
3,12,838,P,pistachia,3,0.613,0.31
3,12,850,D,dorycnium,3,0.029,0.012
3,12,866,D,dorycnium,3,0.044,0.017
3,12,874,P,pistachia,3,0.885,0.426
4,13,363,P,pistachia,3,0.738,0.367
4,13,962,P,pistachia,3,0.059,NA
4,13,368,D,dorycnium,3,NA,0.019
4,13,369,A,anthyllis,3,0.134,0.037
4,13,372,A,anthyllis,3,0.266,NA
4,13,374,P,pistachia,3,0.536,0.264
4,13,376,M,dorycnium,3,0.042,0.015
4,13,378,M,anthyllis,3,0.157,0.047
4,13,383,P,pistachia,3,1.588,0.746
4,13,386,M,pistachia,3,0.858,0.471
4,13,391,D,dorycnium,3,0.072,0.03
4,13,392,A,anthyllis,3,0.094,0.032
4,13,960,D,dorycnium,3,0.052,0.018
4,13,967,P,pistachia,3,0.386,0.202
4,13,971,M,dorycnium,3,0.054,0.022
4,13,975,A,anthyllis,3,0.143,0.029
4,13,976,A,anthyllis,3,0.212,0.058
4,13,978,M,pistachia,3,0.478,0.248
4,13,979,M,dorycnium,3,NA,0.022
4,13,981,A,anthyllis,3,0.171,0.056
4,13,984,M,anthyllis,3,0.23,0.063
4,13,991,D,dorycnium,3,0.032,0.006
4,13,994,D,dorycnium,3,0.044,0.018
4,14,282,A,anthyllis,3,0.157,0.052
4,14,288,M,dorycnium,3,0.059,0.023
4,14,294,D,dorycnium,3,0.039,0.016
4,14,300,D,dorycnium,3,0.173,0.035
4,14,301,D,dorycnium,3,0.057,0.022
4,14,304,P,pistachia,3,0.826,0.397
4,14,313,P,pistachia,3,0.693,0.374
4,14,321,M,pistachia,3,0.835,0.464
4,14,330,A,anthyllis,3,0.173,0.051
4,14,334,P,pistachia,3,0.598,0.348
4,14,335,A,anthyllis,3,0.099,0.04
4,14,336,A,anthyllis,3,0.123,0.037
4,14,340,D,dorycnium,3,0.074,0.028
4,14,341,D,dorycnium,3,0.083,0.031
4,14,347,A,anthyllis,3,0.102,0.034
4,14,350,P,pistachia,3,0.731,0.353
4,14,352,P,pistachia,3,0.676,0.323
4,14,357,P,pistachia,3,0.734,0.419
4,15,1466,P,pistachia,3,0.401,0.221
4,15,1468,M,anthyllis,3,0.121,0.035
4,15,1474,P,pistachia,3,1.019,0.576
4,15,1476,M,anthyllis,3,0.144,0.043
4,15,1481,P,pistachia,3,0.535,0.247
4,15,1483,D,dorycnium,3,0.085,0.03
4,15,1485,D,dorycnium,3,0.079,0.033
4,15,1501,P,pistachia,3,0.5,0.277
4,15,1507,M,anthyllis,3,0.148,0.04
4,15,1523,A,anthyllis,3,0.092,0.024
